"Peak_Name"	"Peak_GLMNET"	"Peak_Cor"	"Gene"	"TSS"	"Rsq_GLMNET"
"UCEC_94401"	0	-0.142405216633914	"BST2"	17405630	0.649177426594343
"CHOL_60352"	-0.0773914479022018	0.251218902291607	"BST2"	17405630	0.649177426594343
"LGG_72696"	0	-0.0376220554536954	"BST2"	17405630	0.649177426594343
"ACC_79786"	0	0.0501720582372585	"BST2"	17405630	0.649177426594343
"ACC_79787"	0	0.303836258314722	"BST2"	17405630	0.649177426594343
"ACC_79809"	0	0.535227560914088	"BST2"	17405630	0.649177426594343
"ACC_79801"	0	0.572082246636834	"BST2"	17405630	0.649177426594343
"LUSC_105104"	0	0.185638502690844	"BST2"	17405630	0.649177426594343
"CHOL_60339"	0	0.177829484474664	"BST2"	17405630	0.649177426594343
"HNSC_83442"	0	0.125461641820946	"BST2"	17405630	0.649177426594343
"BRCA_192428"	0.0822754137609577	0.0144914640775768	"BST2"	17405630	0.649177426594343
"ACC_79777"	-0.0460646812053772	-0.310821938446887	"BST2"	17405630	0.649177426594343
"ACC_79779"	0.235964078352546	0.522524053873318	"BST2"	17405630	0.649177426594343
"ACC_79796"	0.665217678100576	0.664067392141662	"BST2"	17405630	0.649177426594343
"ACC_79797"	0	0.511398088144833	"BST2"	17405630	0.649177426594343
"ACC_79813"	0	0.32244769871235	"BST2"	17405630	0.649177426594343
"KIRP_124756"	0.732589794553135	0.653090359545107	"BST2"	17405630	0.649177426594343
"GBM_69337"	-0.210185188026345	0.0859190494350098	"BST2"	17405630	0.649177426594343
"TGCT_65639"	0	0.106528617640083	"BST2"	17405630	0.649177426594343
"THCA_83941"	0	0.261947008738582	"BST2"	17405630	0.649177426594343
"LUSC_105084"	0	0.306054097972487	"BST2"	17405630	0.649177426594343
"TGCT_65621"	0	0.274195817887503	"BST2"	17405630	0.649177426594343
"ACC_79784"	0	0.190050795251361	"BST2"	17405630	0.649177426594343
"MESO_70718"	0.47480409269694	0.75158198715054	"BST2"	17405630	0.649177426594343
"TGCT_65633"	0	0.235384216415794	"BST2"	17405630	0.649177426594343
"ACC_79811"	0.552503164328726	0.381554748844956	"BST2"	17405630	0.649177426594343
"ACC_79812"	0	0.339656363619043	"BST2"	17405630	0.649177426594343
"GBM_69336"	-0.164531690825343	0.293850700087483	"BST2"	17405630	0.649177426594343
"HNSC_44670"	-0.775323097312556	0.146350101925789	"CA2"	85463968	0.75232480684183
"KIRC_43330"	1.35561233197306	0.550348890195175	"CA2"	85463968	0.75232480684183
"KIRP_66410"	0	0.485027895599454	"CA2"	85463968	0.75232480684183
"LIHC_59840"	-0.410923335938702	-0.00157045611520823	"CA2"	85463968	0.75232480684183
"LIHC_59843"	0	0.0804104964459614	"CA2"	85463968	0.75232480684183
"LIHC_59844"	0	0.110025736946649	"CA2"	85463968	0.75232480684183
"SKCM_51021"	0.441728815823911	0.509560939488298	"CA2"	85463968	0.75232480684183
"CHOL_31460"	0	0.439408495628341	"CA2"	85463968	0.75232480684183
"KIRC_43327"	0	0.52833392013599	"CA2"	85463968	0.75232480684183
"CHOL_31461"	-0.774138595567845	0.260978846872144	"CA2"	85463968	0.75232480684183
"CHOL_31462"	1.53867823814172	0.546936906846451	"CA2"	85463968	0.75232480684183
"KIRC_43325"	0	0.389485312028364	"CA2"	85463968	0.75232480684183
"KIRC_43326"	0	0.538087417747735	"CA2"	85463968	0.75232480684183
"KIRP_97014"	0	0.0484456392996791	"CCNA1"	36431520	0.596772020272579
"BLCA_70563"	0	0.0419542664554707	"CCNA1"	36431520	0.596772020272579
"KIRP_97016"	0.0159238761618219	0.295041500702692	"CCNA1"	36431520	0.596772020272579
"SKCM_72312"	0	0.238705944892176	"CCNA1"	36431520	0.596772020272579
"MESO_54722"	0.148495621662974	0.380599585535506	"CCNA1"	36431520	0.596772020272579
"THCA_64275"	0	0.184134914061982	"CCNA1"	36431520	0.596772020272579
"ACC_62074"	0.0044461275234486	0.203350207974994	"CCNA1"	36431520	0.596772020272579
"LGG_56474"	0.238959178338279	0.40313149146862	"CCNA1"	36431520	0.596772020272579
"UCEC_73571"	0	0.0287024496630444	"CCNA1"	36431520	0.596772020272579
"KIRP_97011"	0	0.0912620627296242	"CCNA1"	36431520	0.596772020272579
"HNSC_65553"	0	0.180122686669816	"CCNA1"	36431520	0.596772020272579
"TGCT_51320"	0	-0.0353566464967019	"CCNA1"	36431520	0.596772020272579
"MESO_54719"	0	0.277751099410865	"CCNA1"	36431520	0.596772020272579
"CESC_37701"	0	0.307743565068934	"CCNA1"	36431520	0.596772020272579
"UCEC_73575"	0.124068012929308	0.318909095779241	"CCNA1"	36431520	0.596772020272579
"KIRP_34742"	0	0.677983017012252	"CXCL1"	73869393	0.732967535941594
"CHOL_17909"	0.379637233832813	0.738945517798131	"CXCL1"	73869393	0.732967535941594
"ESCA_32247"	0.56156726307093	0.747444980405879	"CXCL1"	73869393	0.732967535941594
"KIRP_34738"	0	0.646518725294488	"CXCL1"	73869393	0.732967535941594
"CESC_16326"	0.151186394034967	0.601246620349133	"CXCL1"	73869393	0.732967535941594
"KIRP_34745"	0	0.670510534134105	"CXCL1"	73869393	0.732967535941594
"CHOL_17905"	0.447220764005645	0.666204671809766	"CXCL1"	73869393	0.732967535941594
"KIRC_22577"	0	0.18382728293151	"CXCL1"	73869393	0.732967535941594
"CHOL_17906"	0	0.474402023767273	"CXCL1"	73869393	0.732967535941594
"MESO_19764"	0.279260729178581	0.596659602352186	"CXCL1"	73869393	0.732967535941594
"MESO_19769"	0	0.293731495611347	"CXCL1"	73869393	0.732967535941594
"KIRP_34756"	0	0.621780073688865	"CXCL1"	73869393	0.732967535941594
"KIRC_22575"	0	0.528123651403218	"CXCL1"	73869393	0.732967535941594
"ESCA_32245"	0	0.758903168739291	"CXCL1"	73869393	0.732967535941594
"CHOL_17903"	0.0573508136141954	0.749515529609938	"CXCL1"	73869393	0.732967535941594
"ESCA_32243"	-2.80976322101956e-05	0.598208054935205	"CXCL1"	73869393	0.732967535941594
"COAD_31128"	0	0.671638914907046	"CXCL1"	73869393	0.732967535941594
"CHOL_17908"	0	0.75359454850909	"CXCL1"	73869393	0.732967535941594
"PRAD_28040"	0	0.0844715575538603	"CXCL10"	76023497	0.549135568594429
"BLCA_27700"	0	-0.138989834346694	"CXCL10"	76023497	0.549135568594429
"LIHC_33956"	-0.201976134152855	-0.142551164210074	"CXCL10"	76023497	0.549135568594429
"SKCM_27301"	0.576050376936498	0.100011002269334	"CXCL10"	76023497	0.549135568594429
"SKCM_27302"	0.589302938990843	0.481660545031724	"CXCL10"	76023497	0.549135568594429
"CESC_16363"	-0.227033274644435	-0.275989141110769	"CXCL10"	76023497	0.549135568594429
"CHOL_17964"	0	0.0171174557000435	"CXCL10"	76023497	0.549135568594429
"UCEC_29760"	-0.256208648309438	-0.0496334750175626	"CXCL10"	76023497	0.549135568594429
"KIRP_37507"	0	0.148583271513868	"DDX60"	168318804	0.507490504759685
"COAD_33716"	0	0.17013283112846	"DDX60"	168318804	0.507490504759685
"COAD_33725"	0.117618752339596	0.227536942279712	"DDX60"	168318804	0.507490504759685
"COAD_33726"	0	0.193037645180552	"DDX60"	168318804	0.507490504759685
"KIRP_37510"	0	0.00432666182562082	"DDX60"	168318804	0.507490504759685
"CESC_17030"	-0.0548996550577179	-0.151440040873137	"DDX60"	168318804	0.507490504759685
"PCPG_21670"	0.211987742816447	0.297956514455681	"DDX60"	168318804	0.507490504759685
"LIHC_90185"	0	0.335427300654336	"GALC"	87993665	0.726565243903814
"ACC_65659"	0	0.464748609989107	"GALC"	87993665	0.726565243903814
"ACC_65662"	0	0.132653663948347	"GALC"	87993665	0.726565243903814
"KIRP_102242"	0	-0.38495183028713	"GALC"	87993665	0.726565243903814
"KIRP_102243"	0	-0.350212021974109	"GALC"	87993665	0.726565243903814
"ESCA_92898"	-0.233406525646878	-0.506464660911736	"GALC"	87993665	0.726565243903814
"CESC_39800"	0	0.0878784911493464	"GALC"	87993665	0.726565243903814
"LIHC_90192"	0	0.338458506631291	"GALC"	87993665	0.726565243903814
"CESC_39799"	0.704340779606425	0.727756070526428	"GALC"	87993665	0.726565243903814
"THCA_24918"	0	0.272841347532208	"HERC6"	88378739	0.547667831367052
"THCA_24914"	0	-0.0524968779171061	"HERC6"	88378739	0.547667831367052
"BRCA_53593"	0	0.082963234085068	"HERC6"	88378739	0.547667831367052
"PRAD_28527"	0	-0.0447980697072366	"HERC6"	88378739	0.547667831367052
"TGCT_19166"	0.0153138214273393	0.312003383906638	"HERC6"	88378739	0.547667831367052
"TGCT_19167"	0.00214094388412599	0.291148890996392	"HERC6"	88378739	0.547667831367052
"SKCM_27723"	0	0.126696062298586	"HERC6"	88378739	0.547667831367052
"PCPG_20288"	0	0.0585858906906145	"HERC6"	88378739	0.547667831367052
"CESC_16566"	0	0.121763922548567	"HERC6"	88378739	0.547667831367052
"KIRP_35453"	0.0239945276347308	0.33461728489131	"HERC6"	88378739	0.547667831367052
"PCPG_20296"	0	0.141304835546176	"HERC6"	88378739	0.547667831367052
"ACC_20304"	0	0.120048310875985	"HERC6"	88378739	0.547667831367052
"SKCM_27733"	0	0.0905439301757143	"HERC6"	88378739	0.547667831367052
"LGG_21144"	0	0.068089744354114	"HERC6"	88378739	0.547667831367052
"LUAD_48672"	0.990799120125154	0.303530685986833	"HLA-B"	31357188	0.601948957610131
"COAD_42397"	-1.02231781956582	0.0504834885951566	"HLA-B"	31357188	0.601948957610131
"MESO_27319"	0.174119911297405	0.276732824123201	"HLA-B"	31357188	0.601948957610131
"MESO_27320"	0	0.377293379948083	"HLA-B"	31357188	0.601948957610131
"MESO_27304"	0	0.267350389979377	"HLA-B"	31357188	0.601948957610131
"KIRC_31899"	0	0.160314467927396	"HLA-B"	31357188	0.601948957610131
"KIRC_31900"	0	0.0986853381348594	"HLA-B"	31357188	0.601948957610131
"LIHC_45151"	0	0.162629296473325	"HLA-B"	31357188	0.601948957610131
"KIRC_31902"	0.0546739518562207	0.308668126762279	"HLA-B"	31357188	0.601948957610131
"STAD_38597"	0	0.236658124129862	"HLA-B"	31357188	0.601948957610131
"STAD_38599"	0.0773885631735706	0.217902402473667	"HLA-B"	31357188	0.601948957610131
"COAD_42398"	0	0.36979371964638	"HLA-B"	31357188	0.601948957610131
"BLCA_36621"	0	0.0102383527474493	"HLA-B"	31357188	0.601948957610131
"LGG_28052"	0.0945537473856181	0.431489379989131	"HLA-B"	31357188	0.601948957610131
"GBM_27407"	0.580900647925147	0.468547403534244	"HLA-B"	31357188	0.601948957610131
"BLCA_36624"	0	-0.193694347953774	"HLA-B"	31357188	0.601948957610131
"PRAD_38582"	-0.0492492467526879	-0.130718677955051	"HLA-B"	31357188	0.601948957610131
"TGCT_24640"	0	0.337760898439081	"HLA-B"	31357188	0.601948957610131
"STAD_38617"	0.317296571101338	0.35416681949075	"HLA-B"	31357188	0.601948957610131
"MESO_27316"	0.123012398819052	0.175041921752704	"HLA-B"	31357188	0.601948957610131
"KIRP_48244"	0.124153226165185	0.366453885426411	"HLA-B"	31357188	0.601948957610131
